Species A	Species B	Landmark no	GO type	Scoring metric	Prediction method	kA	kB	Average score	Standard deviation
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	20	40	0.11297925170403342	0.01161113015197617
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	20	50	0.11967364332100586	0.01232641888458262
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	20	100	0.12575971834113847	0.011081057606811419
rat	bakers	500	molecular_function	aupr	dsd-knn	30	-1	0.04576006026102575	0.00876896894927386
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	30	10	0.07406031220205364	0.007026502165644557
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	30	20	0.0924912195422685	0.011718156536961103
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	30	30	0.10760583156059234	0.013303893272724562
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	30	40	0.11476659276774943	0.01273556269619927
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	30	50	0.12098855992461957	0.013629753347560537
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	30	100	0.1271328119268965	0.011546604850454723
rat	bakers	500	molecular_function	aupr	dsd-knn	40	-1	0.053963946197695525	0.008888022930650658
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	40	10	0.07922206357062773	0.006727996229844061
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	40	20	0.09580687952136227	0.011319882388135936
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	40	30	0.11113037600459452	0.012547737485354633
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	40	40	0.11744481630750445	0.012059338406996264
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	40	50	0.12313519045937238	0.013202780402745603
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	40	100	0.12904250197084624	0.011612437222033423
rat	bakers	500	molecular_function	aupr	dsd-knn	50	-1	0.06190818981850803	0.006555324988966402
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	50	10	0.08470047988092903	0.005432395647568739
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	50	20	0.0984779413536164	0.010186260018343107
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	50	30	0.11354642332638129	0.012650822790372494
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	50	40	0.11949188147820722	0.012570802533556287
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	50	50	0.1251013048161249	0.013423190820156047
rat	bakers	500	molecular_function	aupr	mundo-munk-knn-weight-0.660	50	100	0.13053305029048254	0.011633624997484838
rat	bakers	500	molecular_function	auc	dsd-knn	10	-1	0.36125413372378984	0.010847318675251318
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	10	10	0.561710381430628	0.008753340278344995
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	10	20	0.5876229542296294	0.010351112148730775
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	10	30	0.6111384025856612	0.011080581765390604
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	10	40	0.6253739178979111	0.01163195787292006
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	10	50	0.6333133244686547	0.010785137675290527
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	10	100	0.65721386207493	0.010266843942147252
rat	bakers	500	molecular_function	auc	dsd-knn	20	-1	0.4909594099195239	0.0191189320737405
rat	bakers	500	molecular_function	auc	mundo-munk-knn-weight-0.660	20	10	0.5735410140717393	0.01022643187404248
