Species A	Species B	SVD embedding	Landmark no	GO type	Scoring metric	Prediction method	kA	kB	Average score	Standard deviation
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	30	40	0.10765764487565477	0.015714637182726414
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	30	50	0.10404366612068991	0.012286020417608429
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	30	100	0.11164341198736519	0.012246006787982032
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	40	10	0.08457765828866656	0.014356602807686787
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	40	20	0.09519730288960386	0.017729970945282603
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	40	30	0.10758290578729687	0.018060736922222147
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	40	40	0.11005825351092147	0.016848118306066636
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	40	50	0.10662835377306049	0.014879371415506012
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	40	100	0.11400227189894549	0.013344826413816825
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	50	10	0.08998979981862154	0.013417218724747737
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	50	20	0.09874054447762645	0.016334177988565884
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	50	30	0.11087905923618346	0.01745338544735191
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	50	40	0.11273563630964671	0.015477149971126489
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	50	50	0.11002333470649954	0.01364887289713349
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	50	100	0.11560793240711609	0.012823671270193278
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	10	10	0.5660666063220383	0.009465810165877959
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	10	20	0.5735843548644073	0.008910598564809245
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	10	30	0.5799331429457586	0.010398286996700645
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	10	40	0.5907168763714331	0.010662641419432926
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	10	50	0.5992311147425602	0.01032031108676144
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	10	100	0.6144434692143265	0.010203217452390969
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	20	10	0.5801261272374397	0.012117030638446907
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	20	20	0.5872956207305465	0.010732384456095275
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	20	30	0.5936671801396864	0.012633355346404999
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	20	40	0.6038085727063207	0.012882467991845484
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	20	50	0.6112464947309892	0.012403035259479034
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	20	100	0.6258980158203823	0.011521713660795567
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	30	10	0.5885938861367416	0.011827482360401534
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	30	20	0.5952833044944461	0.010423372405221502
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	30	30	0.6016650908993176	0.012776510016808846
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	30	40	0.611524632580554	0.012783667668483795
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	30	50	0.618205798007313	0.012900255612453993
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	30	100	0.6319663342271676	0.011997666855117566
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	40	10	0.5994003880587117	0.010541920812258163
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	40	20	0.6057808923916815	0.009133971801328472
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	40	30	0.6121854440149995	0.01135329805123314
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	40	40	0.6212836091689509	0.011067546326414242
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	40	50	0.6272588220043154	0.012173478204898749
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	40	100	0.6398475565567808	0.01206913556762896
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	50	10	0.6082874564079079	0.008948741567336292
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	50	20	0.6146808515586974	0.00749177746269624
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	50	30	0.6208849819848449	0.009922880758156552
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	50	40	0.6298936181515172	0.010153958915214579
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	50	50	0.634677170523408	0.011221129716741645
rat	bakers	250	50	molecular_function	auc	mundo4-knn-weight-0.660	50	100	0.6466136940742075	0.011271978523022514
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	10	10	0.11872072959931623	0.015149684521926733
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	10	20	0.13189506820885116	0.016168149909609266
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	10	30	0.1445705410096431	0.014690351871290416
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	10	40	0.14981045051122446	0.014811794510908643
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	10	50	0.14977814858256927	0.014812062031353268
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	10	100	0.1620445361018156	0.01045051061625139
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	20	10	0.13057704104158221	0.013437204275186047
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	20	20	0.1422319863558839	0.016048149028490003
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	20	30	0.1535755883564734	0.015574110469884555
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	20	40	0.15710226752635809	0.014447551880940847
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	20	50	0.1570341713085914	0.013552389261871899
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	20	100	0.1681348037148026	0.01076789121000911
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	30	10	0.13675340730833077	0.012206601889966627
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	30	20	0.14799404550662573	0.014169103465058109
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	30	30	0.15882368661768345	0.01448544914729279
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	30	40	0.16175546434546315	0.014224697916236715
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	30	50	0.16193796116409098	0.012109884081749178
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	30	100	0.1705359352842715	0.010444031281320798
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	40	10	0.14337765275148323	0.014393573860606095
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	40	20	0.1544937561616354	0.01639871518087206
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	40	30	0.1651570965490472	0.015952500283143746
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	40	40	0.16671248153103777	0.015132314603811757
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	40	50	0.16673602715577182	0.013640499745111568
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	40	100	0.17400360219096656	0.010712844658512346
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	50	10	0.15160728864346013	0.013372466224061408
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	50	20	0.16131557756051565	0.015204509694747636
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	50	30	0.1710126714062458	0.014795947316601214
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	50	40	0.17199319445651368	0.014058519978413212
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	50	50	0.17248470084014453	0.012736902124061075
rat	bakers	250	50	molecular_function	f1max	mundo4-knn-weight-0.660	50	100	0.1770971307639284	0.010120172793965708
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	10	10	0.01573304000242618	0.008335302937014276
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	10	20	0.01208692282194085	0.008396605330850154
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	10	30	0.02082893188821459	0.007021233501111488
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	10	40	0.02153238467362	0.0075716593760293775
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	10	50	0.021552735522250392	0.007633540606805222
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	10	100	0.019497170703600068	0.005723313904673958
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	20	10	0.025668814012965946	0.010554265128489464
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	20	20	0.019381557151357698	0.009561257327013262
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	20	30	0.02519742921882112	0.006600959638668838
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	20	40	0.024621060342740433	0.005838096490877842
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	20	50	0.025909308449783276	0.005946247224746526
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	20	100	0.020879901973419723	0.007704181529337959
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	30	10	0.027116514244666705	0.0074614662908268434
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	30	20	0.02527639705737821	0.005805587101879447
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	30	30	0.030842250253396847	0.005957926544288661
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	30	40	0.030265881377316155	0.005702156566015588
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	30	50	0.030311922974481466	0.008100159781892283
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	30	100	0.022232793547499803	0.006659582367969565
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	40	10	0.03312916652197427	0.005473798835861932
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	40	20	0.030752370083815983	0.0031548965733489815
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	40	30	0.03687009236008028	0.008945106670075397
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	40	40	0.036882342257997795	0.006945469500688333
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	40	50	0.03457226376047908	0.005969621698931175
rat	bakers	250	50	biological_process	top-1-acc	mundo4-knn-weight-0.660	40	100	0.024039119035540502	0.005550213081314806
