Species A	Species B	SVD embedding	Landmark no	GO type	Scoring metric	Prediction method	kA	kB	Average score	Standard deviation
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	20	40	0.1167643964692949	0.015607931229618037
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	20	50	0.11968766382077475	0.015796215190010957
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	20	100	0.12591828041973557	0.013334596151830504
rat	bakers	250	500	molecular_function	aupr	dsd-knn	30	-1	0.044432524764697744	0.009269123203921837
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	30	10	0.08625397700405066	0.019545423442948344
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	30	20	0.10006105576462583	0.018543180563460295
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	30	30	0.11486250647113003	0.018817635452035145
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	30	40	0.1190491281265943	0.015244801714949225
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	30	50	0.12174611888520208	0.015595222865265254
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	30	100	0.12705272615554453	0.013455266599781458
rat	bakers	250	500	molecular_function	aupr	dsd-knn	40	-1	0.05316194626966668	0.009185826714704503
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	40	10	0.09187441709033652	0.02102543254007265
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	40	20	0.10410623549412257	0.01807530616491863
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	40	30	0.11802538076071536	0.01956293824211531
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	40	40	0.12204853932165897	0.01575339902540998
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	40	50	0.12403035394107945	0.01578326760804231
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	40	100	0.12879065800512574	0.013624069645259442
rat	bakers	250	500	molecular_function	aupr	dsd-knn	50	-1	0.060629336840577606	0.007168194104101661
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	50	10	0.09643120787211398	0.019064587393139616
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	50	20	0.10918483635689595	0.01750527738892778
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	50	30	0.12164594954768226	0.01815404883262195
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	50	40	0.12403715774075423	0.015212873068042405
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	50	50	0.1260189235027937	0.015581297892928407
rat	bakers	250	500	molecular_function	aupr	mundo4-knn-weight-0.800	50	100	0.1306918536066109	0.012842462008094727
rat	bakers	250	500	molecular_function	auc	dsd-knn	10	-1	0.36125181924869415	0.010853712038423013
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	10	10	0.5532217833937201	0.014423643721143091
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	10	20	0.5713016840849455	0.0139151828166793
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	10	30	0.5816489444526166	0.01315270022428326
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	10	40	0.5907338573845935	0.012775467128734347
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	10	50	0.596998133745787	0.010545010655835615
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	10	100	0.6293647588838119	0.007790156529263858
rat	bakers	250	500	molecular_function	auc	dsd-knn	20	-1	0.49094397043858906	0.01912210357947427
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	20	10	0.5688413510196181	0.016453376277664272
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	20	20	0.5858793822124744	0.01659176147605776
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	20	30	0.5952442318237391	0.016387699319896212
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	20	40	0.6039665299620977	0.01565112570547562
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	20	50	0.6094622778172648	0.013396045731498349
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	20	100	0.6392259821980295	0.010011848662402057
rat	bakers	250	500	molecular_function	auc	dsd-knn	30	-1	0.5388708276121115	0.010433070670843366
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	30	10	0.5793463432382935	0.01626507840005136
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	30	20	0.595215149133283	0.01690331621069229
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	30	30	0.603469679458842	0.017031100679406382
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	30	40	0.6113529689564864	0.016209664253643355
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	30	50	0.6161950655071845	0.013666340653454094
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	30	100	0.6455172307287333	0.00980596038650726
rat	bakers	250	500	molecular_function	auc	dsd-knn	40	-1	0.5632783771638072	0.008023118286615801
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	40	10	0.5908608432031203	0.014870995985538111
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	40	20	0.6054272282642224	0.01561933316959421
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	40	30	0.6132159217284329	0.015656269910156208
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	40	40	0.6207704858475198	0.01432028277778651
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	40	50	0.6247166859053769	0.011072456183842587
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	40	100	0.6515492299549704	0.008500079904942509
rat	bakers	250	500	molecular_function	auc	dsd-knn	50	-1	0.5767309647681205	0.008827741406697152
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	50	10	0.6011026281812004	0.01319443419901268
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	50	20	0.6143444738613357	0.01462025525286358
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	50	30	0.6215570546491508	0.01514397200035545
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	50	40	0.6290412733529409	0.014785122780888386
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	50	50	0.6329222485524453	0.011624731051769992
rat	bakers	250	500	molecular_function	auc	mundo4-knn-weight-0.800	50	100	0.6575079101313939	0.008779076531403748
rat	bakers	250	500	molecular_function	f1max	dsd-knn	10	-1	0.03638582689413748	0.012513513344984174
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	10	10	0.10948111981979584	0.026178249143454634
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	10	20	0.1324887146668684	0.021911927191137475
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	10	30	0.1538071298506954	0.019397140008318468
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	10	40	0.16223619393627026	0.015613233135671234
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	10	50	0.16761712793555308	0.01504390195010788
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	10	100	0.18263694326728658	0.010723613836815386
rat	bakers	250	500	molecular_function	f1max	dsd-knn	20	-1	0.06186687502501172	0.016821344691661473
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	20	10	0.12454690900458185	0.02663067577181519
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	20	20	0.14565620617287572	0.022749201404340662
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	20	30	0.16448694853698914	0.020567907053237973
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	20	40	0.17107734889616194	0.016464859803268308
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	20	50	0.1753203915513362	0.015339589018455979
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	20	100	0.18761609180653238	0.010849212740969796
rat	bakers	250	500	molecular_function	f1max	dsd-knn	30	-1	0.0775420141197724	0.012365725216794807
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	30	10	0.13439631997213786	0.02400144210457464
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	30	20	0.1534596117984533	0.02158585702752089
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	30	30	0.16996471430139423	0.0196397381045158
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	30	40	0.1751430092737064	0.015419882534807066
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	30	50	0.17913955431072298	0.014897143375181323
rat	bakers	250	500	molecular_function	f1max	mundo4-knn-weight-0.800	30	100	0.18986191960076354	0.011036079174740754
rat	bakers	250	500	molecular_function	f1max	dsd-knn	40	-1	0.09287598929083428	0.00987898322017205
