Q56NI9
Q9CQ22
Q86SE5
P25685
P22091
Q91Z31
Q14582
P58871
Q61098
Q91XL1
P49748
Q7Z6E9
P52756
Q9CR80
Q62255
Q9WTX2
Q9JKF1
Q9NUQ6
Q9ESS0
Q8N567
P67778
Q60636
Q62432
Q6PH08
Q3ULD5
Q96I15
Q9QXZ9
P01135
Q8NFH4
O15235
Q9Y2P8
Q15370
P04792
P97346
P39688
P06899
P62906
P27361
Q9H8V3
A8MW92
Q14315
O14545
Q9D1K2
Q99519
Q03157
P18484
Q8BNN1
Q5SDA5
Q9EQP2
O43921
P11142
Q9WVG9
Q9Z218
Q9Z2A0
P59281
Q96HW7
Q9UL45
Q99NE5
Q9Y276
Q9CPS7
Q96GX5
E9Q4K7
P62266
P26358
Q01405
Q9CPR1
Q8VDU5
P19814
P16371
Q9BUQ8
Q80US4
Q8K1X4
P68104
B2RXC1
O55042
O88566
P26196
Q91YI1
P26041
Q96EP5
Q9JIX8
Q8R034
Q9D6S9
Q9JJV9
Q9H2P0
Q80TS3
Q9QY14
Q8VI84
Q8NA72
P61014
Q8BZ98
P51660
Q9ET43
Q9NRG9
Q8IWQ3
P26040
Q06413
P20783
Q96NB3
Q14508
Q8NHM5
O95747
Q9NX55
Q7Z5J4
O07422
O00442
Q96CS2
O60333
P97481
Q8NBI5
P22907
Q3UHD1
P17879
Q9NWZ3
P58389
P26450
P62877
Q13885
Q921H8
P14115
Q9UJX2
Q60610
Q62645
O75494
Q62219
P63244
Q9JHP7
Q96DN5
Q921U8
P08887
Q8VCD7
P52293
O89023
P29788
P28066
P17679
Q96FZ2
Q9BSH4
P62137
Q9DBR0
Q8WYB5
Q06265
Q9R0E1
Q8K4Z2
Q9Z254
P57759
P00558
Q6GQX6
Q9JJ11
Q8JZU2
Q8N9R8
P51116
Q99JP6
P26043
Q8BWY7
Q3UMC0
Q15583
O54991
P17012
O88522
Q9WUT3
P09012
Q8N6M0
Q9Y2K7
O15155
P70662
Q92824
P70663
P13804
P30658
Q13247
Q8VCQ3
Q9Y5N5
P60891
P85037
Q13309
Q9ULW0
P24043
P25490
P31948
Q9Y399
Q9H0A8
Q6NS38
O88796
Q3TTA7
Q9WVE8
Q9CX84
P62876
Q9UK85
O35737
Q5RL51
Q96EV2
Q3TN34
Q9QZM3
O95707
Q14669
Q9JLC6
Q9EQQ0
Q6A068
Q9WUM5
P40201
Q13636
P59016
P32507
P43241
A2A259
Q8VEB4
P28665
P19474
P13379
Q68FD9
Q3UNW5
Q62441
Q9NW97
P27612
P40338
Q9H4A6
P42228
Q15287
P23727
O08583
Q8C6B9
P68368
Q80VP2
Q9JLV1
Q9BQ24
Q8CHY6
P46527
P30051
Q83FA5
Q15643
P49588
Q8BGG7
E9QAT4
P97348
Q9D880
Q9D6K8
Q03137
Q3UHC7
Q3U0X6
Q9BQA1
Q8BSP2
Q9H707
P63159
Q9NYB0
Q69ZK6
Q9Y592
Q9QWY8
Q9HCK4
P63279
Q62151
Q64364
P02088
O75037
Q99613
Q9UG63
Q12872
Q9DBS9
P98156
Q96KN7
Q69ZT9
Q6F5E0
Q9UGU5
Q9NX20
P22695
Q8TEX9
Q3UX61
Q6Y685
Q6N069
Q8VEM8
P31384
Q9UNQ2
Q9NSE4
O75110
P60981
Q9Y3A3
Q08501
Q6PKG0
Q8K424
P43351
Q9EP69
P83876
Q6NY15
P70458
Q9H568
Q3UFT3
Q96KA5
Q96M27
Q3UMR5
P23928
O94903
Q9Z1P6
P97369
O70250
Q3T906
Q03933
P63276
P04627
Q91ZX7
O95067
P40222
Q96RT8
Q9C035
Q99LS3
Q9BVI0
Q9D6R2
O75306
P22366
Q9Y295
Q8BQC3
Q9UBQ0
Q9NUQ8
O50440
P08226
Q61466
P05201
Q8K2X3
Q9ES46
O35280
P09525
Q91VN4
P49754
Q14684
P62806
P46937
E9Q5G3
P61927
Q5EG47
O70591
Q91ZD4
P22061
P62317
Q61645
Q06418
Q8NFZ0
Q6UWP8
Q62393
Q6PHS9
Q9CPY7
Q8CJ67
Q5SWP3
Q9DBT5
Q9ULX9
Q8N9Z2
Q9JK92
B7ZR20
Q16822
P12694
P50481
Q99J39
Q8R1M2
Q8TCY9
P25206
Q9WV30
Q9Z1Q5
P29992
Q99J95
Q709F0
Q13573
Q8IZT6
Q0P678
Q8C0T9
P39428
Q921I9
Q5VWN6
Q9UGC6
P62937
Q9JKC8
Q9DB20
P12814
Q99K85
P56931
O75146
Q9CZU6
Q3UM45
Q8VDF2
P46467
O88545
P35269
P09914
Q9UH65
P47809
Q53HV7
P97769
Q6P9R2
Q9NSC5
P10619
Q8N7N6
Q96DF8
Q6P1F6
Q8C9B9
P62805
Q8K3B1
B2RQC2
A2A654
P20823
Q9Y3C8
Q9DB40
Q80Y17
P35242
Q9Z2D8
Q9D5I4
Q5PRF9
Q99733
Q925T4
Q8BH59
Q80TS7
Q9CRB2
Q15696
Q9Z0H1
Q8CGU1
Q8BWF0
Q9NZI8
P29460
Q9H3R2
Q07120
Q8JZQ2
Q68DQ2
Q99962
Q9BZE4
Q4U4S6
Q99MY8
P78406
Q8NEM2
Q8NF91
Q9CQ75
Q09XV5
O14522
P62832
P97377
Q5S007
P53621
P27782
Q53H96
Q8WWM7
Q6PCN7
Q91Z67
Q9R1Q8
P78345
P35523
P35991
P02100
Q9UH17
Q8C110
Q96CT7
Q8BFX2
Q8N488
Q8IWL3
Q9P2F8
P59708
O35658
P97469
Q6P2C8
Q9QZL0
Q9R0Q7
P63101
Q9QX29
Q61097
P97303
O88634
Q15646
Q96M94
P21278
P18077
P49698
P15409
Q61288
Q8CBY8
Q92499
Q91YR1
P32969
P60605
Q9C086
Q96K58
Q06210
P24369
P14373
Q80TR4
P48301
Q9NQT4
Q5BL07
Q9NZJ0
P34947
Q96T37
Q9DA19
Q8BFZ9
O88441
P20152
Q91YE6
Q9UKK6
Q07079
Q9JKV1
Q96G23
A6H619
P14576
Q8R104
Q9Y315
Q60611
Q9BYR7
P61006
Q9CQE8
Q9UKG1
Q9CQJ2
Q9UFH2
P02786
Q80YY7
P70379
P08238
P60510
Q8C3X2
Q99633
E9QAE3
Q4LE39
P59048
O08900
B1AWL2
Q13042
Q9NWU1
Q9JJK2
P23441
O14727
Q9D5T0
P13020
Q7L5Y9
P51679
P11152
Q9BV79
P52503
Q60862
Q62282
P23804
A2RTX5
O14979
P97762
P13796
Q99ME6
P59325
P63330
P49138
Q8VDQ1
O88477
Q96JM3
Q9UPU5
P62340
Q9BVC6
Q9D2X5
Q9CXJ4
Q9CZE3
Q64520
Q3UVL4
P19013
O15156
Q14103
Q3UM18
Q99814
Q9R194
Q921F4
Q9CR25
P70371
P25205
Q8VEK3
Q6VMQ6
Q15818
Q9Z150
Q86UN3
P26952
Q8TD90
O14867
Q8BW10
Q9UBG7
O35621
Q9D0P7
P29595
Q80TJ1
Q9UHV7
Q9JKK7
Q8C3Q5
Q7TQK4
Q71SY5
P16125
Q6UXN9
P23950
Q811S7
O55187
Q16611
P61750
Q9CZH3
Q61233
Q8BTZ4
P40855
P63073
Q13242
Q9Y570
P49959
Q8IWX8
Q78IK2
O75113
A2A4P0
Q4G0F5
Q6P5U7
P09651
P14106
Q9JJW5
O15550
Q9NVI1
P33992
Q6P3X3
P20918
Q8TD19
Q8VE09
P42566
O35615
Q9BTW9
Q8VHQ4
Q3UEI1
Q9H061
Q00613
P43034
Q7Z3B4
Q8TAT6
Q91X72
Q9Y5X1
O75477
P62273
Q9ERD7
Q9Y2J4
Q8BI06
Q8IUQ4
P62242
P23467
O14530
Q9UBC3
Q9WVR4
O08532
Q9Y3D3
Q9JMG9
P07237
Q8N3E9
Q6FI81
P20700
Q64727
Q9UJV9
Q60996
Q9CVB6
Q8C0M9
O15144
Q9UHB7
P12004
Q9Y247
Q8CAK1
Q99549
O00308
Q9DB42
P60670
O08810
Q5SQX6
Q61425
Q6DN90
P30307
O00327
Q9UQM7
Q9CPQ5
Q62422
Q60680
Q9WUF3
Q91W40
Q9Z0S9
O08638
Q9ES64
P46977
P62515
P10518
Q921Q7
Q99NB8
P08779
Q91VN6
Q15648
Q96N66
Q9HBH1
P11717
Q9D0I9
Q9H1X3
Q14674
Q62520
Q9WUM3
P54132
Q5DU25
O15534
Q9H0U3
P00405
Q13618
P47713
Q9HC62
Q9D738
Q96EY1
Q86TG7
Q921J2
Q9H0B6
Q15361
Q8TAQ2
P63044
Q9H0H5
Q6UW02
Q60751
Q9JKX8
Q9HBM6
Q9JIA1
Q8BNV8
E1U8D0
Q80X73
P46684
Q5D1E7
Q924C1
P70290
Q8BFU3
O54774
O54941
O70494
P24522
Q7TNM2
P09541
Q04592
Q9UJX6
P97288
P61406
P63001
P46978
Q9JIF0
P62277
Q9CU65
P51655
P41785
P10599
Q9CZ82
Q93092
O43913
Q99K51
Q9UDT6
Q99JN2
P01731
P49591
Q6VGS5
O88974
Q13547
Q9NR28
P55265
Q02750
Q9JJ80
Q02085
Q00993
Q8BVN3
Q01705
Q9Y2U8
Q9WUN2
Q5RHP9
Q9NWH9
Q8NBF6
P18653
P36876
O88491
Q86V81
O54885
P35331
Q3URU2
Q9Z0E6
Q9JI11
P52795
Q6YHK3
Q91ZR1
Q8WZ42
Q9Z2H5
Q99MS3
Q8C7R4
O70477
Q9JMF3
P23812
Q8N3C0
Q9R0C9
Q92930
P11217
Q8BHA1
Q3UQ44
P56716
Q969N2
Q9P0V3
Q62186
Q99JX4
Q9WUL6
Q8NDX5
Q8NBJ5
Q5SXM2
Q8BVM9
P67871
Q9H0E3
B2RSH2
Q9Z2V4
Q8R1B8
P49756
Q64280
Q922D4
Q9JM96
P48678
Q922S4
O60506
Q9D023
Q8N7N5
Q99986
Q9Z1B3
Q62440
Q9NRB3
P01106
Q3TL44
P25440
P70389
O88335
O08796
Q7L9L4
O95219
Q9NRY4
Q8C2K1
Q71UM5
O75063
O60566
Q9C0D5
P06280
Q61830
P00338
Q8VDH1
Q8BKT8
Q9HCN8
P16066
Q8WWC4
P86048
Q8N531
O60318
P97434
Q9ET35
Q9EPK5
O08605
P28838
Q53G59
O94988
Q5TD97
B8QI36
P48643
P60709
Q3TWW8
Q50H33
P55209
Q64096
P80316
P12979
P52483
Q7TMA4
Q80ZM5
Q8IXJ6
O43491
Q9Z103
P30048
P97863
Q96ER3
Q99NH2
Q9NS23
P53350
P09493
Q9Y6M1
P29803
Q8BP47
P35240
Q9NY27
Q6IBW4
Q2MHE5
Q9CQ19
O08599
Q80U49
P53566
Q9CR14
Q924W5
E9Q401
Q9UPT5
Q9JKF7
P19228
Q14416
Q99JZ0
Q9Y3F4
Q8N8A2
O55131
P22033
O08709
Q06180
Q99JI4
P63158
Q14566
O14967
Q12972
