From	To
P53243	4932.YGR067C
P32490	4932.YOR231W
P38179	4932.YBL082C
Q03964	4932.YDR170W-A
P47988	4932.YOR337W
P24871	4932.YLR210W
P17558	4932.YOR158W
P38798	4932.YHR077C
P15315	4932.YGL166W
P41800	4932.YLL006W
P38860	4932.YHR168W
P40434	4932.YIL177C
P00572	4932.YJR057W
Q04119	4932.YDR452W
P32379	4932.YGR253C
P49626	4932.YDR012W
P27637	4932.YAR014C
Q06598	4932.YPR201W
P39943	4932.YER028C
P33448	4932.YOR045W
P10174	4932.YMR256C
Q03612	4932.YER138C
P30605	4932.YDR497C
P46654	4932.YLR048W
P40303	4932.YOL038W
Q06170	4932.YLR326W
Q12412	4932.YOR161C
P32387	4932.YDR405W
P01120	4932.YNL098C
P38699	4932.YHR178W
P32380	4932.YDR356W
P27796	4932.YIL160C
P56508	4932.YDR525W-A
P42834	4932.YNL328C
P14284	4932.YPL167C
Q15038	9606.ENSP00000448051
P36093	4932.YKL043W
P07560	4932.YFL005W
P32497	4932.YMR309C
P32800	4932.YJL210W
Q12063	4932.YDL193W
Q38879	3702.AT5G39950.1
P32499	4932.YLR335W
P38229	4932.YBR045C
P38292	4932.YBR168W
Q96HD9	9606.ENSP00000255082
P14724	4932.YFR036W
Q12233	4932.YPR020W
P32473	4932.YBR221C
Q06644	4932.YDR307W
P07195	9606.ENSP00000379386
P47158	4932.YJR122W
P52489	4932.YOR347C
P80428	4932.YJL081C
Q9M1X5	3702.AT3G60010.1
Q12115	4932.YDL016C
P36156	4932.YKR076W
P47821	4932.YNL025C
Q9P209	9606.ENSP00000264935
P00854	4932.Q0085
P53756	4932.YNR070W
P32639	4932.YER172C
Q08729	4932.YOR264W
P13130	4932.YHR139C
Q08916	4932.YPL142C
P32605	4932.YBR119W
P36108	4932.YKL002W
P36080	4932.YKL082C
P07236	4932.YKL194C
Q969J2	9606.ENSP00000366509
Q12367	4932.YLR137W
P20485	4932.YLR133W
P40355	4932.YJR061W
P04911	4932.YDR225W
Q06608	4932.YPR172W
